trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl,tp1,tp2,tp3,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,margin_used,entry_amount,monetary_loss_at_sl,monetary_profit_at_tp,rr_ratio,tp3_pips,sl_pips,tp1_pips,tp2_pips
a683da19-c060-408a-b82a-9332ce7c9565,a808a0e1-dc05-4edf-a09c-9d3656db888c,XAGUSD,SELL,2024,London,B,30.858,31.3392,30.3768,29.8956,29.4144,30.858,31.3392,30.3768,29.8956,29.4144,0.01,251014,2024-09-13 15:55:00+00:00,255280,2024-09-18 18:06:00+00:00,CLOSED,BREAKEVEN,12.53,30.838,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,48.1,48.1,96.2
35e470df-3de6-4e21-84fb-a90fc024a10c,37b223bd-6688-4db3-abfb-c7c2893c4450,XAGUSD,SELL,2024,Asia,A,30.858,31.304,30.412,29.966,29.52,30.858,31.304,30.412,29.966,29.52,0.01,251451,2024-09-16 00:15:00+00:00,255280,2024-09-18 18:06:00+00:00,CLOSED,BREAKEVEN,11.65,30.838,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,44.6,44.6,89.2
ae828925-a337-4868-9c97-331ce1b92b4f,4b4ef13b-1681-4cd3-a384-28dae7f0ccbc,XAGUSD,SELL,2024,Asia,B,31.665,32.0885,31.2415,30.818,30.3945,31.665,32.0885,31.2415,30.818,30.3945,0.01,254209,2024-09-18 00:15:00+00:00,255453,2024-09-18 22:00:00+00:00,CLOSED,CANCELLED,0.0,31.665,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,42.4,42.4,84.7
03b8c4b7-d0a7-40c3-9e54-3c71bf3aa6af,91d6aeae-fa1c-4d5d-a7f5-259753f868fa,XAGUSD,SELL,2024,Asia,A,30.765,31.2622,30.2678,29.7706,29.2734,30.765,31.2622,30.2678,29.7706,29.2734,0.01,256967,2024-09-20 00:15:00+00:00,257473,2024-09-20 08:41:00+00:00,CLOSED,LOSS,-24.86,31.2622,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,49.7,49.7,99.4
5da1a48b-e1b0-4e01-9dc7-684f32dd2a68,466ad3c1-3680-4120-96e5-3b75197e5e21,XAGUSD,SELL,2024,Asia,B,31.715,32.2122,31.2178,30.7206,30.2234,31.715,32.2122,31.2178,30.7206,30.2234,0.01,256967,2024-09-20 00:15:00+00:00,258209,2024-09-22 22:00:00+00:00,CLOSED,CANCELLED,0.0,31.715,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,49.7,49.7,99.4
ae0cdb82-6817-4a2a-8f86-bc483edf0827,5d49097c-9b74-4783-8b93-42593d5c8e1b,XAGUSD,SELL,2024,Asia,B,32.034,32.4939,31.5741,31.1142,30.6543,32.034,32.4939,31.5741,31.1142,30.6543,0.01,258344,2024-09-23 00:15:00+00:00,259588,2024-09-23 22:00:00+00:00,CLOSED,CANCELLED,0.0,32.034,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,46.0,46.0,92.0
04defd12-da3d-479d-b8b8-41c2178f9756,b45e98fb-322f-4f19-8eca-c46d83466840,XAGUSD,SELL,2024,Asia,A,31.084,31.5439,30.6241,30.1642,29.7043,31.084,31.5439,30.6241,30.1642,29.7043,0.01,258344,2024-09-23 00:15:00+00:00,259902,2024-09-24 03:14:00+00:00,CLOSED,BREAKEVEN,12.0,31.064,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,46.0,46.0,92.0
53fdfbcc-ff31-4d34-8347-7453c3c2dca2,60b1c23f-a346-414b-8e7d-dcba1ffa94cb,XAGUSD,SELL,2024,Asia,A,30.662,31.157,30.167,29.672,29.177,30.662,31.157,30.167,29.672,29.177,0.01,259723,2024-09-24 00:15:00+00:00,260038,2024-09-24 05:30:00+00:00,CLOSED,LOSS,-24.75,31.157,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,49.5,49.5,99.0
b7fa8788-8f57-4543-8dfd-bd11b47a4e17,c4df72c4-43c7-4bbe-a193-6f54a4658b30,XAGUSD,SELL,2024,London,B,31.612,32.107,31.117,30.622,30.127,31.612,32.107,31.117,30.622,30.127,0.01,260634,2024-09-24 15:26:00+00:00,260708,2024-09-24 16:40:00+00:00,CLOSED,LOSS,-24.75,32.107,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,49.5,49.5,99.0
79e70ea3-4e12-4228-aa7a-5d44704fe8bd,b5a65509-7508-4ff1-abdf-f0eaa0d507cd,XAGUSD,SELL,2024,Asia,B,33.087,33.6972,32.4768,31.8666,31.2564,33.087,33.6972,32.4768,31.8666,31.2564,0.01,261102,2024-09-25 00:15:00+00:00,262346,2024-09-25 22:00:00+00:00,CLOSED,CANCELLED,0.0,33.087,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,61.0,61.0,122.0
